,Płeć,Kategoria wiekowa,Rocznik,Czas_na_5km,Czas_na_10km,Czas_na_15km,Czas_półmaratonu,Wiek
14601,0,0,2002,1771,3519,5388,7755,22
14584,1,6,2002,1807,3593,5441,7748,22
14527,0,0,2002,1848,3621,5418,7727,22
14512,1,6,2002,1847,3617,5413,7723,22
14498,1,6,2002,1879,3698,5374,7718,22
14486,1,6,2002,1801,3537,5403,7716,22
14390,0,0,2002,1883,3653,5471,7682,22
14388,1,6,2002,1879,3648,5468,7681,22
14309,0,0,2002,1752,3485,5477,7656,22
14305,0,0,2002,1786,3504,5303,7655,22
14207,1,6,2002,1800,3572,5430,7626,22
14068,0,0,2002,1846,3586,5349,7581,22
13684,0,0,2002,1702,3321,5081,7463,22
13661,1,6,2002,1850,3587,5329,7452,22
13482,1,6,2002,1771,3515,5261,7383,22
13460,1,6,2002,1771,3516,5262,7378,22
13401,1,6,2002,1709,3368,5148,7361,22
13119,1,6,2002,1814,3572,5212,7267,22
13109,1,6,2002,1680,3301,5019,7265,22
12806,0,0,2002,1721,3388,5114,7188,22
12587,1,6,2002,1722,3367,5064,7146,22
12429,0,0,2002,1692,3341,5051,7104,22
12416,1,6,2002,1690,3272,4924,7102,22
12396,1,6,2002,1618,3170,4848,7098,22
12381,0,0,2002,1586,3212,4936,7093,22
12221,1,6,2002,1625,3236,4925,7057,22
12111,1,6,2002,1680,3294,4966,7026,22
11951,1,6,2002,1662,3298,4981,6987,22
11950,1,6,2002,1598,3083,4668,6986,22
11724,1,6,2002,1572,3087,4769,6927,22
11590,1,6,2002,1438,2936,4619,6897,22
11557,1,6,2002,1728,3351,4970,6888,22
11490,1,6,2002,1627,3241,4823,6870,22
11469,1,6,2002,1670,3275,4900,6864,22
11280,1,6,2002,1564,3095,4691,6807,22
11254,0,0,2002,1643,3195,4821,6801,22
11225,1,6,2002,1680,3268,4894,6790,22
11169,0,0,2002,1455,2996,4655,6767,22
11055,1,6,2002,1583,3113,4714,6729,22
10844,1,6,2002,1416,2955,4538,6660,22
10699,0,0,2002,1584,3123,4702,6606,22
10658,1,6,2002,1672,3216,4759,6592,22
10567,1,6,2002,1567,3051,4628,6569,22
10483,1,6,2002,1473,2946,4533,6542,22
10462,1,6,2002,1565,3067,4608,6536,22
10413,1,6,2002,1483,2933,4508,6520,22
10400,1,6,2002,1484,2933,4508,6514,22
10371,1,6,2002,1530,2995,4546,6505,22
10344,1,6,2002,1508,2983,4540,6498,22
10322,1,6,2002,1536,3035,4595,6491,22
10268,1,6,2002,1558,3041,4554,6468,22
10197,0,0,2002,1486,2933,4485,6443,22
10115,1,6,2002,1585,3095,4603,6409,22
10065,1,6,2002,1564,3046,4559,6392,22
10027,0,0,2002,1484,2949,4464,6381,22
9898,1,6,2002,1486,2922,4436,6330,22
9741,0,0,2002,1560,3038,4492,6282,22
9617,1,6,2002,1453,2867,4355,6233,22
9594,1,6,2002,1449,2820,4295,6221,22
9544,0,0,2002,1421,2817,4307,6202,22
9519,1,6,2002,1486,2888,4350,6187,22
9481,1,6,2002,1489,2914,4376,6166,22
9465,0,0,2002,1411,2794,4237,6159,22
9423,0,0,2002,1452,2847,4321,6132,22
9191,0,0,2002,1397,2776,4200,6009,22
9100,0,0,2002,1441,2797,4207,5969,22
9012,1,6,2002,1449,2836,4213,5929,22
9000,1,6,2002,1378,2708,4121,5925,22
8966,1,6,2002,1404,2759,4173,5897,22
8955,1,6,2002,1366,2721,4114,5889,22
8939,1,6,2002,1372,2698,4095,5879,22
8936,1,6,2002,1369,2703,4094,5878,22
8833,1,6,2002,1316,2631,4024,5807,22
8761,1,6,2002,1337,2639,4003,5741,22
8682,1,6,2002,1332,2625,3984,5674,22
8649,1,6,2002,1274,2513,3831,5656,22
8639,1,6,2002,1348,2624,3989,5649,22
8462,1,6,2002,1201,2419,3724,5479,22
8324,1,6,2002,1233,2454,3731,5320,22
8271,1,6,2002,1202,2376,3627,5221,22
8232,1,6,2002,1187,2359,3594,5117,22
8190,1,6,2002,1202,2352,3531,4980,22
8078,0,0,2002,2244,4747,7387,11017,22
8075,0,0,2002,2321,4853,7601,10904,22
7888,1,6,2002,2092,4226,6609,9973,22
7849,0,0,2002,2060,4107,6582,9889,22
7588,0,0,2002,2021,4077,6358,9349,22
7381,0,0,2002,2003,3917,5935,9125,22
7370,1,6,2002,2073,4100,6198,9110,22
6803,0,0,2002,1960,3907,5909,8590,22
6756,1,6,2002,1982,3835,5769,8558,22
6708,1,6,2002,1653,3413,5473,8512,22
6701,0,0,2002,1974,3846,5807,8507,22
6682,0,0,2002,1702,3477,5598,8493,22
6613,1,6,2002,1717,3482,5477,8447,22
6529,1,6,2002,2055,3889,5803,8380,22
6512,0,0,2002,1972,3846,5806,8369,22
6507,1,6,2002,1921,3825,5742,8364,22
6501,0,0,2002,1898,3757,5677,8358,22
6383,1,6,2002,1899,3766,5763,8269,22
6351,1,6,2002,1787,3632,5674,8247,22
6232,1,6,2002,1906,3810,5728,8171,22
5965,1,6,2002,1758,3632,5507,8015,22
5901,0,0,2002,1976,3824,5702,7986,22
5703,0,0,2002,1767,3548,5458,7883,22
5573,1,6,2002,1644,3341,5182,7815,22
5331,0,0,2002,1713,3534,5394,7705,22
4984,0,0,2002,1725,3482,5282,7551,22
4911,1,6,2002,1754,3455,5263,7521,22
4890,1,6,2002,1751,3451,5257,7516,22
4411,0,0,2002,1610,3271,5017,7329,22
4142,1,6,2002,1750,3415,5098,7231,22
4083,0,0,2002,1668,3280,5037,7213,22
3961,1,6,2002,1661,3279,4978,7175,22
3497,1,6,2002,1694,3330,5039,7040,22
3282,1,6,2002,1440,2864,4670,6971,22
3232,1,6,2002,1633,3204,4830,6950,22
3053,1,6,2002,1614,3199,4846,6882,22
3052,1,6,2002,1615,3201,4846,6881,22
2882,1,6,2002,1613,3193,4820,6823,22
2577,1,6,2002,1638,3135,4682,6700,22
2510,1,6,2002,1481,2977,4545,6672,22
2437,1,6,2002,1522,3044,4619,6640,22
2435,1,6,2002,1414,2856,4456,6640,22
2207,1,6,2002,1511,3032,4617,6568,22
2001,1,6,2002,1453,2921,4467,6496,22
1956,1,6,2002,1486,2982,4507,6482,22
1455,1,6,2002,1493,2910,4406,6266,22
1443,1,6,2002,1465,2902,4403,6262,22
1432,1,6,2002,1460,2897,4414,6257,22
1361,1,6,2002,1450,2917,4379,6229,22
1123,1,6,2002,1445,2861,4332,6116,22
660,1,6,2002,1359,2689,4042,5806,22
298,1,6,2002,1230,2452,3716,5380,22
85,1,6,2002,1134,2270,3465,4972,22
18342,0,0,2001,2342,4947,7718,11227,23
18279,0,0,2001,2351,4813,7436,10729,23
18232,1,6,2001,2186,4405,6984,10525,23
18207,0,0,2001,2115,4536,7071,10437,23
18118,1,6,2001,1880,4129,6778,10170,23
18103,0,0,2001,2053,4187,6597,10117,23
18019,1,6,2001,2155,4238,6586,9926,23
17968,1,6,2001,2051,4325,6697,9822,23
17926,0,0,2001,2083,4243,6567,9755,23
17804,1,6,2001,1816,3871,6455,9590,23
17766,0,0,2001,2240,4508,6845,9548,23
17750,0,0,2001,2059,4227,6568,9531,23
17709,1,6,2001,2061,4242,6544,9451,23
17613,0,0,2001,2146,4298,6559,9339,23
17605,1,6,2001,2003,4061,6341,9328,23
17596,0,0,2001,2307,4542,6754,9318,23
17557,1,6,2001,1884,3990,6029,9281,23
17556,1,6,2001,2154,4295,6479,9281,23
17545,1,6,2001,2057,4072,6351,9271,23
17544,0,0,2001,2056,4071,6352,9269,23
17522,0,0,2001,2014,4102,6261,9241,23
17509,0,0,2001,2161,4294,6517,9232,23
17440,0,0,2001,2047,4118,6313,9163,23
17434,1,6,2001,2054,4005,6121,9159,23
17286,1,6,2001,1773,3753,6004,9022,23
17209,1,6,2001,1900,3831,6014,8972,23
17168,1,6,2001,1884,3885,6123,8942,23
17023,0,0,2001,2090,4140,6253,8849,23
17021,1,6,2001,1863,3720,5820,8849,23
17015,0,0,2001,1913,3856,6053,8845,23
16987,1,6,2001,2037,3978,6107,8827,23
16970,0,0,2001,2034,3973,6104,8821,23
16935,0,0,2001,2156,4215,6319,8803,23
16932,1,6,2001,2153,4213,6316,8801,23
16915,1,6,2001,1812,3879,5934,8784,23
16901,1,6,2001,1888,3733,5733,8775,23
16874,1,6,2001,1848,3795,5912,8755,23
16802,1,6,2001,1938,4009,6136,8702,23
16785,0,0,2001,1979,3949,6029,8693,23
16750,1,6,2001,1838,3862,6006,8670,23
16709,1,6,2001,2009,3866,5964,8651,23
16703,0,0,2001,2130,4138,6209,8649,23
16681,0,0,2001,1864,3838,6009,8633,23
16663,1,6,2001,2007,3861,5957,8623,23
16653,0,0,2001,2153,4213,6268,8614,23
16594,0,0,2001,1986,4056,6119,8576,23
16536,0,0,2001,2093,4040,6113,8548,23
16500,1,6,2001,2063,4005,6079,8530,23
16439,0,0,2001,1847,3745,5848,8499,23
16430,1,6,2001,1760,3482,5437,8495,23
16426,0,0,2001,1879,3731,5747,8494,23
16413,0,0,2001,1975,3813,5882,8488,23
16099,1,6,2001,1682,3559,5666,8334,23
16048,1,6,2001,1706,3561,5629,8310,23
